source,id,name,rawName,type,latitude,longitude,areaSqm,areaLabel,areaCategory,address,region,coordinateLabel,updatedAt,originalId,osmId,osmName,matchedType
osm_unnamed,osm-way-1204704958,"Unnamed playground at 1.35880, 103.72999",,Unnamed playground,1.3588003900000003,103.72998865,270.9374352991689,271 sqm,Pocket,,West,"1.358800, 103.729989",,,osm-way-1204704958,"Unnamed playground at 1.35880, 103.72999",unnamed
osm_unnamed,osm-way-1204704960,"Unnamed playground at 1.35817, 103.72934",,Unnamed playground,1.3581664666666666,103.72934274000002,197.99491982704114,198 sqm,Pocket,,West,"1.358166, 103.729343",,,osm-way-1204704960,"Unnamed playground at 1.35817, 103.72934",unnamed
osm_unnamed,osm-way-1204704962,"Unnamed playground at 1.35806, 103.73009",,Unnamed playground,1.3580574333333333,103.73008814666667,437.7913182246926,438 sqm,Pocket,,West,"1.358057, 103.730088",,,osm-way-1204704962,"Unnamed playground at 1.35806, 103.73009",unnamed
osm_unnamed,osm-way-1204810459,"Unnamed playground at 1.35731, 103.73062",,Unnamed playground,1.357312,103.7306244875,54.25382382650808,54 sqm,Pocket,,West,"1.357312, 103.730624",,,osm-way-1204810459,"Unnamed playground at 1.35731, 103.73062",unnamed
osm_unnamed,osm-way-1204810461,"Unnamed playground at 1.35788, 103.73080",,Unnamed playground,1.3578812823529411,103.73080416470589,254.89484498277253,255 sqm,Pocket,,West,"1.357881, 103.730804",,,osm-way-1204810461,"Unnamed playground at 1.35788, 103.73080",unnamed
osm_unnamed,osm-way-1204810462,"Unnamed playground at 1.35843, 103.73141",,Unnamed playground,1.3584259833333334,103.7314095888889,246.0922363165805,246 sqm,Pocket,,West,"1.358426, 103.731410",,,osm-way-1204810462,"Unnamed playground at 1.35843, 103.73141",unnamed
osm_unnamed,osm-way-1204856721,"Unnamed playground at 1.36314, 103.73257",,Unnamed playground,1.3631393840000001,103.73256998,289.2700597828619,289 sqm,Pocket,,West,"1.363139, 103.732570",,,osm-way-1204856721,"Unnamed playground at 1.36314, 103.73257",unnamed
osm_unnamed,osm-way-1204856723,"Unnamed playground at 1.36282, 103.73328",,Unnamed playground,1.3628244545454544,103.73328257272728,123.86582130620883,124 sqm,Pocket,,West,"1.362824, 103.733283",,,osm-way-1204856723,"Unnamed playground at 1.36282, 103.73328",unnamed
osm_unnamed,osm-way-1204856780,"Unnamed playground at 1.36358, 103.73392",,Unnamed playground,1.3635844181818182,103.73392274545454,251.04562858013153,251 sqm,Pocket,,West,"1.363584, 103.733923",,,osm-way-1204856780,"Unnamed playground at 1.36358, 103.73392",unnamed
osm_unnamed,osm-way-1204856781,"Unnamed playground at 1.36302, 103.73389",,Unnamed playground,1.3630223799999999,103.73389123,368.46173236988125,368 sqm,Pocket,,West,"1.363022, 103.733891",,,osm-way-1204856781,"Unnamed playground at 1.36302, 103.73389",unnamed
osm_unnamed,osm-way-1204856784,"Unnamed playground at 1.36261, 103.73439",,Unnamed playground,1.3626052444444445,103.73439441111111,139.6572558948119,140 sqm,Pocket,,West,"1.362605, 103.734394",,,osm-way-1204856784,"Unnamed playground at 1.36261, 103.73439",unnamed
osm_unnamed,osm-way-1204856786,"Unnamed playground at 1.36233, 103.73498",,Unnamed playground,1.3623295833333335,103.73497823888891,288.45805856249535,288 sqm,Pocket,,West,"1.362330, 103.734978",,,osm-way-1204856786,"Unnamed playground at 1.36233, 103.73498",unnamed
osm_unnamed,osm-way-1208776236,"Unnamed playground at 1.28164, 103.79109",,Unnamed playground,1.2816395200000001,103.79108566,53.39204048636395,53 sqm,Pocket,,South,"1.281640, 103.791086",,,osm-way-1208776236,"Unnamed playground at 1.28164, 103.79109",unnamed
osm_unnamed,osm-way-1210522524,"Unnamed playground at 1.34201, 103.71059",,Unnamed playground,1.3420100631578944,103.71059200526315,207.31367960106505,207 sqm,Pocket,,West,"1.342010, 103.710592",,,osm-way-1210522524,"Unnamed playground at 1.34201, 103.71059",unnamed
osm_unnamed,osm-way-1210522525,"Unnamed playground at 1.34175, 103.71005",,Unnamed playground,1.3417509652173911,103.71004923478259,388.32235099895854,388 sqm,Pocket,,West,"1.341751, 103.710049",,,osm-way-1210522525,"Unnamed playground at 1.34175, 103.71005",unnamed
osm_unnamed,osm-way-1210522526,"Unnamed playground at 1.34170, 103.71092",,Unnamed playground,1.34169998,103.71092174999998,108.33275689409965,108 sqm,Pocket,,West,"1.341700, 103.710922",,,osm-way-1210522526,"Unnamed playground at 1.34170, 103.71092",unnamed
osm_unnamed,osm-way-1210681896,"Unnamed playground at 1.30083, 103.76334",,Unnamed playground,1.3008321733333335,103.763344,140.07083832512262,140 sqm,Pocket,,South,"1.300832, 103.763344",,,osm-way-1210681896,"Unnamed playground at 1.30083, 103.76334",unnamed
osm_unnamed,osm-way-1210681897,"Unnamed playground at 1.30091, 103.76321",,Unnamed playground,1.3009098666666667,103.76321130476191,393.02604088343963,393 sqm,Pocket,,South,"1.300910, 103.763211",,,osm-way-1210681897,"Unnamed playground at 1.30091, 103.76321",unnamed
osm_unnamed,osm-way-1210681898,"Unnamed playground at 1.30011, 103.76366",,Unnamed playground,1.300114525,103.76366166874999,381.45827669988535,381 sqm,Pocket,,South,"1.300115, 103.763662",,,osm-way-1210681898,"Unnamed playground at 1.30011, 103.76366",unnamed
osm_unnamed,osm-way-1212030332,"Unnamed playground at 1.44743, 103.82779",,Unnamed playground,1.447425757142857,103.82779045714285,116.3126495296056,116 sqm,Pocket,,North,"1.447426, 103.827790",,,osm-way-1212030332,"Unnamed playground at 1.44743, 103.82779",unnamed
osm_unnamed,osm-way-1212947087,"Unnamed playground at 1.39781, 103.87660",,Unnamed playground,1.3978056249999997,103.87660022500002,215.28271995218927,215 sqm,Pocket,,North,"1.397806, 103.876600",,,osm-way-1212947087,"Unnamed playground at 1.39781, 103.87660",unnamed
osm_unnamed,osm-way-1212947088,"Unnamed playground at 1.39762, 103.87657",,Unnamed playground,1.39762460625,103.87656734374998,291.3079159329464,291 sqm,Pocket,,North,"1.397625, 103.876567",,,osm-way-1212947088,"Unnamed playground at 1.39762, 103.87657",unnamed
osm_unnamed,osm-way-1212970691,"Unnamed playground at 1.31211, 103.87144",,Unnamed playground,1.3121093666666666,103.87143503333334,124.38013136781191,124 sqm,Pocket,,South,"1.312109, 103.871435",,,osm-way-1212970691,"Unnamed playground at 1.31211, 103.87144",unnamed
osm_unnamed,osm-way-1212970692,"Unnamed playground at 1.31221, 103.87136",,Unnamed playground,1.3122142833333335,103.87136070000001,167.23571654985787,167 sqm,Pocket,,South,"1.312214, 103.871361",,,osm-way-1212970692,"Unnamed playground at 1.31221, 103.87136",unnamed
osm_unnamed,osm-way-1212976586,"Unnamed playground at 1.31312, 103.80474",,Unnamed playground,1.3131178399999999,103.8047434,35.36901087194881,35 sqm,Pocket,,South,"1.313118, 103.804743",,,osm-way-1212976586,"Unnamed playground at 1.31312, 103.80474",unnamed
osm_unnamed,osm-way-1213566590,"Unnamed playground at 1.35976, 103.73838",,Unnamed playground,1.359761375,103.73838398333332,185.27057210740557,185 sqm,Pocket,,West,"1.359761, 103.738384",,,osm-way-1213566590,"Unnamed playground at 1.35976, 103.73838",unnamed
osm_unnamed,osm-way-1213566591,"Unnamed playground at 1.36088, 103.73799",,Unnamed playground,1.3608782714285714,103.7379892142857,323.4846486516209,323 sqm,Pocket,,West,"1.360878, 103.737989",,,osm-way-1213566591,"Unnamed playground at 1.36088, 103.73799",unnamed
osm_unnamed,osm-way-1215273450,"Unnamed playground at 1.35345, 103.95357",,Unnamed playground,1.3534533250000003,103.953570375,204.62254540097734,205 sqm,Pocket,,East,"1.353453, 103.953570",,,osm-way-1215273450,"Unnamed playground at 1.35345, 103.95357",unnamed
osm_unnamed,osm-way-1215592391,"Unnamed playground at 1.30645, 103.82158",,Unnamed playground,1.3064546000000001,103.82157868333333,31.86367198575869,32 sqm,Pocket,,South,"1.306455, 103.821579",,,osm-way-1215592391,"Unnamed playground at 1.30645, 103.82158",unnamed
